propertyid,address,city,state,zipcode,price,bedrooms,bathrooms,squarefeet,geometry
38526782,15319 SW 23RD LN,Miami,FL,33185,255000.0,3.0,2.0,2638.0,POINT(-80.442789 25.744865)
38526786,10901 NE 5TH AVE,Miami,FL,33161,120000.0,3.0,2.0,1630.0,POINT(-80.18771 25.875843)
38526788,1680 NE 191ST ST APT 311,Miami,FL,33179,200000.0,1.0,1.5,1036.0,POINT(-80.168936 25.949072)
38526792,10229 NW 9TH STREET CIR APT 205,Miami,FL,33172,210000.0,2.0,2.0,1000.0,POINT(-80.362701 25.778198)
38526791,11824 SW 79TH TER,Miami,FL,33183,0.0,3.0,2.0,2046.0,POINT(-80.383231 25.694027)
38526803,480 NE 109TH ST,Miami,FL,33161,578501.0567366581,3.0,1.5,2008.0,POINT(-80.188007 25.875427)
38526809,1660 NE 191ST ST APT 304,Miami,FL,33179,78000.0,1.0,1.5,1036.0,POINT(-80.168937 25.949073)
38526807,1660 NE 191ST ST APT 305,Miami,FL,33179,52500.0,1.0,1.5,1036.0,POINT(-80.168937 25.949073)
38526805,7500 SW 98TH CT,Miami,FL,33173,135000.0,3.0,2.0,2111.0,POINT(-80.353257 25.698763)
38526813,1660 NE 191ST ST APT 302,Miami,FL,33179,210000.0,2.0,2.0,1315.0,POINT(-80.168937 25.949073)
38526821,3678 GRAND AVE,Miami,FL,33133,578501.0567366581,3.253236331756704,2.4041736648413257,4330.0,POINT(-80.253145 25.727406)
38526822,746 NW 77TH TER,Miami,FL,33150,485000.0,6.0,3.0,3298.0,POINT(-80.210203 25.845319)
38526820,15391 SW 31ST TER,Miami,FL,33185,370200.0,3.0,2.0,1710.0,POINT(-80.44373 25.73801)
38526836,1071 NW 77TH ST,Miami,FL,33150,21100.0,2.0,1.0,1117.0,POINT(-80.214531 25.844891)
38526833,2449 SW 153RD PASS,Miami,FL,33185,375500.0,3.0,2.5,1959.0,POINT(-80.44362 25.743719)
38526843,15 NW 196TH ST,Miami,FL,33169,77000.0,3.0,2.0,1400.0,POINT(-80.202036 25.954574)
38526852,7242 SW 163RD CT,Miami,FL,33193,590000.0,4.0,5.0,4164.0,POINT(-80.457568 25.697947)
38526850,7751 SW 21ST ST,Miami,FL,33155,290000.0,3.0,1.0,1202.0,POINT(-80.321734 25.751265)
